Country_Region,Date,Tests,Confirmed
Illinois,2020-07-31,13243.0,57
Michigan,2020-08-01,5660.0,248
Purdue,2020-08-01,2.0,0
Illinois,2020-08-01,13243.0,57
Rutgers,2020-08-01,9776.0,81
Purdue,2020-08-02,18.0,0
Michigan State,2020-08-02,177.0,18
Illinois,2020-08-02,13243.0,57
Purdue,2020-08-03,45.0,0
Illinois,2020-08-03,15139.0,58
Illinois,2020-08-04,16898.0,61
Purdue,2020-08-04,340.0,2
Purdue,2020-08-05,395.0,3
Illinois,2020-08-05,18303.0,66
Illinois,2020-08-06,20126.0,71
Purdue,2020-08-06,439.0,4
Northwestern,2020-08-06,,49
Illinois,2020-08-07,22635.0,77
UW-Madison,2020-08-07,40.0,1
Purdue,2020-08-07,510.0,4
Rutgers,2020-08-08,10895.0,86
Michigan,2020-08-08,6537.0,264
Purdue,2020-08-08,552.0,4
UW-Madison,2020-08-08,72.0,2
Illinois,2020-08-08,22635.0,77
Michigan State,2020-08-09,274.0,28
UW-Madison,2020-08-09,74.0,2
Illinois,2020-08-09,22635.0,77
Purdue,2020-08-09,592.0,4
Indiana,2020-08-09,79.0,4
UW-Madison,2020-08-10,74.0,2
Purdue,2020-08-10,674.0,5
Illinois,2020-08-10,26745.0,79
Purdue,2020-08-11,854.0,6
UW-Madison,2020-08-11,149.0,2
Illinois,2020-08-11,30355.0,83
Purdue,2020-08-12,1127.0,6
UW-Madison,2020-08-12,208.0,6
Illinois,2020-08-12,32793.0,87
Maryland,2020-08-12,336.0,4
Purdue,2020-08-13,1241.0,8
UW-Madison,2020-08-13,322.0,7
Northwestern,2020-08-13,,50
Penn State,2020-08-13,321.0,0
Nebraska,2020-08-13,7.0,0
Illinois,2020-08-13,32793.0,87
Ohio State,2020-08-13,0.0,0
Illinois,2020-08-14,32793.0,87
UW-Madison,2020-08-14,579.0,8
Ohio State,2020-08-14,472.0,6
Purdue,2020-08-14,1446.0,9
Nebraska,2020-08-14,45.0,0
Rutgers,2020-08-15,13032.0,88
Ohio State,2020-08-15,1622.0,27
Michigan,2020-08-15,7429.0,274
UW-Madison,2020-08-15,719.0,11
Nebraska,2020-08-15,70.0,0
Illinois,2020-08-15,34429.0,93
Purdue,2020-08-15,1580.0,13
Nebraska,2020-08-16,181.0,1
Ohio State,2020-08-16,2861.0,50
Illinois,2020-08-16,36882.0,100
Indiana,2020-08-16,179.0,14
Purdue,2020-08-16,1677.0,15
Michigan State,2020-08-16,440.0,45
UW-Madison,2020-08-16,755.0,12
UW-Madison,2020-08-17,756.0,12
Ohio State,2020-08-17,4221.0,65
Illinois,2020-08-17,45946.0,124
Purdue,2020-08-17,1894.0,25
Nebraska,2020-08-17,204.0,3
Illinois,2020-08-18,52108.0,144
UW-Madison,2020-08-18,1082.0,17
Purdue,2020-08-18,2121.0,25
Ohio State,2020-08-18,5372.0,75
Nebraska,2020-08-18,234.0,4
UW-Madison,2020-08-19,1398.0,18
Illinois,2020-08-19,58408.0,173
Ohio State,2020-08-19,6814.0,81
Maryland,2020-08-19,1147.0,6
Nebraska,2020-08-19,312.0,6
Purdue,2020-08-19,2516.0,29
Ohio State,2020-08-20,8345.0,89
Maryland,2020-08-20,2557.0,8
Purdue,2020-08-20,2784.0,38
Northwestern,2020-08-20,,55
Penn State,2020-08-20,615.0,3
Illinois,2020-08-20,69150.0,225
Minnesota,2020-08-20,2408.0,116
UW-Madison,2020-08-20,1719.0,18
Nebraska,2020-08-20,408.0,12
Ohio State,2020-08-21,9789.0,99
Purdue,2020-08-21,3157.0,52
Illinois,2020-08-21,80027.0,279
Maryland,2020-08-21,3409.0,8
Nebraska,2020-08-21,478.0,19
UW-Madison,2020-08-21,2032.0,21
Michigan,2020-08-22,8310.0,287
Nebraska,2020-08-22,518.0,26
Illinois,2020-08-22,83353.0,322
Rutgers,2020-08-22,15748.0,93
UW-Madison,2020-08-22,2270.0,24
Purdue,2020-08-22,3391.0,56
Ohio State,2020-08-22,11220.0,111
Maryland,2020-08-22,4173.0,9
Illinois,2020-08-23,87827.0,375
UW-Madison,2020-08-23,2476.0,26
Michigan State,2020-08-23,574.0,55
Purdue,2020-08-23,3647.0,67
Indiana,2020-08-23,303.0,35
Ohio State,2020-08-23,11873.0,119
Nebraska,2020-08-23,529.0,32
Maryland,2020-08-23,4692.0,10
Illinois,2020-08-24,105483.0,454
Iowa,2020-08-24,,111
Ohio State,2020-08-24,15138.0,207
Nebraska,2020-08-24,697.0,41
Purdue,2020-08-24,4227.0,83
UW-Madison,2020-08-24,2476.0,26
Maryland,2020-08-24,4698.0,10
Ohio State,2020-08-25,18308.0,286
UW-Madison,2020-08-25,2994.0,35
Nebraska,2020-08-25,730.0,61
Purdue,2020-08-25,4468.0,90
Illinois,2020-08-25,121333.0,543
Maryland,2020-08-25,4968.0,11
Ohio State,2020-08-26,22549.0,417
Purdue,2020-08-26,5079.0,98
Nebraska,2020-08-26,859.0,93
Maryland,2020-08-26,6287.0,16
Illinois,2020-08-26,128145.0,597
UW-Madison,2020-08-26,4562.0,55
Illinois,2020-08-27,143268.0,657
UW-Madison,2020-08-27,5730.0,62
Maryland,2020-08-27,7143.0,19
Penn State,2020-08-27,4825.0,37
Minnesota,2020-08-27,2590.0,120
Ohio State,2020-08-27,24802.0,533
Northwestern,2020-08-27,,59
Nebraska,2020-08-27,1038.0,132
Purdue,2020-08-27,5257.0,107
Purdue,2020-08-28,5906.0,133
Nebraska,2020-08-28,1161.0,165
Illinois,2020-08-28,158298.0,722
Maryland,2020-08-28,7389.0,20
UW-Madison,2020-08-28,6666.0,76
Nebraska,2020-08-29,1335.0,194
Maryland,2020-08-29,9155.0,24
Rutgers,2020-08-29,18634.0,95
UW-Madison,2020-08-29,7880.0,102
Michigan,2020-08-29,9863.0,326
Purdue,2020-08-29,6112.0,136
Illinois,2020-08-29,161193.0,772
Iowa,2020-08-29,,618
UW-Madison,2020-08-30,8861.0,116
Illinois,2020-08-30,164833.0,876
Michigan State,2020-08-30,797.0,97
Nebraska,2020-08-30,1523.0,223
Ohio State,2020-08-30,25080.0,562
Indiana,2020-08-30,9328.0,428
Purdue,2020-08-30,6361.0,140
Maryland,2020-08-30,11662.0,24
Nebraska,2020-08-31,1613.0,243
Ohio State,2020-08-31,29384.0,847
Illinois,2020-08-31,182060.0,1106
UW-Madison,2020-08-31,9711.0,124
Maryland,2020-08-31,11962.0,28
Purdue,2020-08-31,7605.0,174
Maryland,2020-09-01,11962.0,28
Nebraska,2020-09-01,1760.0,271
Iowa,2020-09-01,,935
UW-Madison,2020-09-01,11372.0,173
Ohio State,2020-09-01,33562.0,1065
Illinois,2020-09-01,196427.0,1305
Purdue,2020-09-01,8400.0,201
Nebraska,2020-09-02,1916.0,311
UW-Madison,2020-09-02,12370.0,207
Maryland,2020-09-02,13221.0,37
Purdue,2020-09-02,10335.0,219
Illinois,2020-09-02,203516.0,1425
Ohio State,2020-09-02,37140.0,1252
Northwestern,2020-09-03,,73
Nebraska,2020-09-03,2102.0,351
Minnesota,2020-09-03,2694.0,124
Ohio State,2020-09-03,40255.0,1437
UW-Madison,2020-09-03,13457.0,245
Illinois,2020-09-03,218357.0,1513
Purdue,2020-09-03,11268.0,267
Maryland,2020-09-03,13482.0,93
Penn State,2020-09-03,10118.0,399
Nebraska,2020-09-04,2184.0,366
Iowa,2020-09-04,,1589
Ohio State,2020-09-04,43167.0,1617
UW-Madison,2020-09-04,15100.0,337
Maryland,2020-09-04,14922.0,105
Purdue,2020-09-04,11924.0,279
Illinois,2020-09-04,232561.0,1617
Ohio State,2020-09-05,44186.0,1668
Purdue,2020-09-05,12213.0,304
Illinois,2020-09-05,235170.0,1654
Rutgers,2020-09-05,22117.0,102
Nebraska,2020-09-05,2198.0,368
UW-Madison,2020-09-05,17111.0,455
Maryland,2020-09-05,17296.0,112
Michigan,2020-09-05,11620.0,365
Illinois,2020-09-06,238157.0,1691
Purdue,2020-09-06,12438.0,316
Maryland,2020-09-06,18580.0,140
Nebraska,2020-09-06,2213.0,375
Michigan State,2020-09-06,1471.0,547
Indiana,2020-09-06,21195.0,1445
UW-Madison,2020-09-06,19145.0,602
Nebraska,2020-09-07,2220.0,378
UW-Madison,2020-09-07,19239.0,622
Illinois,2020-09-07,244456.0,1760
Iowa,2020-09-07,,1642
Ohio State,2020-09-07,44186.0,1668
Purdue,2020-09-07,13316.0,336
Maryland,2020-09-07,18599.0,140
Northwestern,2020-09-08,9265.0,73
Maryland,2020-09-08,19055.0,140
Illinois,2020-09-08,256077.0,1841
Purdue,2020-09-08,14293.0,379
Nebraska,2020-09-08,2872.0,479
UW-Madison,2020-09-08,19366.0,647
Ohio State,2020-09-08,48841.0,1888
Iowa,2020-09-09,,1755
UW-Madison,2020-09-09,21767.0,937
Purdue,2020-09-09,15771.0,418
Nebraska,2020-09-09,3007.0,504
Illinois,2020-09-09,268070.0,1888
Ohio State,2020-09-09,53460.0,2044
Maryland,2020-09-09,19224.0,142
UW-Madison,2020-09-10,24125.0,1156
Purdue,2020-09-10,16713.0,444
Illinois,2020-09-10,274696.0,1922
Minnesota,2020-09-10,2816.0,128
Northwestern,2020-09-10,9265.0,92
Maryland,2020-09-10,19609.0,170
Penn State,2020-09-10,16579.0,1053
Nebraska,2020-09-10,3204.0,530
Ohio State,2020-09-10,57357.0,2159
UW-Madison,2020-09-11,25067.0,1223
Nebraska,2020-09-11,3498.0,578
Illinois,2020-09-11,285949.0,1957
Purdue,2020-09-11,17521.0,470
Maryland,2020-09-11,19664.0,175
Ohio State,2020-09-11,59385.0,2264
Iowa,2020-09-11,,1831
Ohio State,2020-09-12,60735.0,2304
Illinois,2020-09-12,289958.0,1967
Purdue,2020-09-12,17750.0,481
Nebraska,2020-09-12,3631.0,593
Michigan,2020-09-12,13914.0,436
Maryland,2020-09-12,19664.0,175
Rutgers,2020-09-12,25192.0,116
UW-Madison,2020-09-12,26138.0,1299
Ohio State,2020-09-13,60797.0,2305
Indiana,2020-09-13,31243.0,2025
Purdue,2020-09-13,17957.0,489
UW-Madison,2020-09-13,28330.0,1487
Illinois,2020-09-13,294526.0,1984
Nebraska,2020-09-13,3690.0,598
Maryland,2020-09-13,19693.0,184
Michigan State,2020-09-13,2215.0,1298
Nebraska,2020-09-14,3864.0,623
Iowa,2020-09-14,,1868
Ohio State,2020-09-14,65375.0,2423
Maryland,2020-09-14,19695.0,186
Purdue,2020-09-14,18973.0,513
UW-Madison,2020-09-14,28357.0,1489
Illinois,2020-09-14,304740.0,2024
Northwestern,2020-09-15,13520.0,92
Ohio State,2020-09-15,69387.0,2502
Purdue,2020-09-15,19918.0,545
UW-Madison,2020-09-15,28749.0,1500
Illinois,2020-09-15,315972.0,2069
Maryland,2020-09-15,19695.0,186
Nebraska,2020-09-15,4009.0,639
UW-Madison,2020-09-16,30636.0,1627
Illinois,2020-09-16,325937.0,2093
Ohio State,2020-09-16,73077.0,2583
Purdue,2020-09-16,21589.0,575
Nebraska,2020-09-16,4166.0,657
Iowa,2020-09-16,,1912
Maryland,2020-09-16,19717.0,198
UW-Madison,2020-09-17,32144.0,1714
Northwestern,2020-09-17,13520.0,116
Maryland,2020-09-17,21103.0,213
Purdue,2020-09-17,22400.0,591
Penn State,2020-09-17,23254.0,1691
Minnesota,2020-09-17,3026.0,147
Nebraska,2020-09-17,4282.0,669
Ohio State,2020-09-17,76098.0,2624
Illinois,2020-09-17,333739.0,2111
Purdue,2020-09-18,23050.0,617
Maryland,2020-09-18,22770.0,223
Nebraska,2020-09-18,4411.0,683
Illinois,2020-09-18,344303.0,2138
UW-Madison,2020-09-18,33689.0,1789
Ohio State,2020-09-18,77838.0,2673
Iowa,2020-09-18,,1945
Purdue,2020-09-19,23268.0,628
Michigan,2020-09-19,17685.0,561
Maryland,2020-09-19,24280.0,236
Illinois,2020-09-19,348436.0,2151
Rutgers,2020-09-19,28764.0,150
Nebraska,2020-09-19,4515.0,695
UW-Madison,2020-09-19,35334.0,1853
Ohio State,2020-09-19,78270.0,2676
UW-Madison,2020-09-20,36289.0,1899
Indiana,2020-09-20,42756.0,2324
Michigan State,2020-09-20,3233.0,1729
Nebraska,2020-09-20,4647.0,705
Maryland,2020-09-20,25096.0,245
Northwestern,2020-09-20,15465.0,116
Purdue,2020-09-20,23402.0,643
Illinois,2020-09-20,352819.0,2162
Ohio State,2020-09-20,78270.0,2676
Maryland,2020-09-21,25888.0,248
Purdue,2020-09-21,24162.0,661
Iowa,2020-09-21,,1982
Illinois,2020-09-21,363293.0,2204
UW-Madison,2020-09-21,36299.0,1902
Nebraska,2020-09-21,4706.0,710
Ohio State,2020-09-21,82378.0,2734
Illinois,2020-09-22,374323.0,2266
Purdue,2020-09-22,24987.0,687
UW-Madison,2020-09-22,36971.0,1915
Nebraska,2020-09-22,4779.0,716
Maryland,2020-09-22,25951.0,252
Ohio State,2020-09-22,86132.0,2788
Purdue,2020-09-23,26589.0,741
Northwestern,2020-09-23,17261.0,130
Illinois,2020-09-23,383994.0,2294
Ohio State,2020-09-23,89916.0,2831
Iowa,2020-09-23,,2018
UW-Madison,2020-09-23,38333.0,1947
Nebraska,2020-09-23,4837.0,723
Maryland,2020-09-23,26248.0,258
Purdue,2020-09-24,27436.0,787
Nebraska,2020-09-24,4975.0,743
Illinois,2020-09-24,393080.0,2321
Ohio State,2020-09-24,93367.0,2869
UW-Madison,2020-09-24,39607.0,1982
Maryland,2020-09-24,27445.0,273
Minnesota,2020-09-24,3257.0,190
Penn State,2020-09-24,30276.0,2385
Ohio State,2020-09-25,95497.0,2891
Maryland,2020-09-25,27844.0,282
UW-Madison,2020-09-25,41265.0,2004
Iowa,2020-09-25,,2029
Purdue,2020-09-25,28322.0,805
Illinois,2020-09-25,404170.0,2362
Nebraska,2020-09-25,5085.0,756
Nebraska,2020-09-26,5219.0,760
Rutgers,2020-09-26,32008.0,228
Purdue,2020-09-26,28634.0,839
Michigan,2020-09-26,21305.0,840
Maryland,2020-09-26,30879.0,309
Ohio State,2020-09-26,96212.0,2897
UW-Madison,2020-09-26,42136.0,2022
Illinois,2020-09-26,408062.0,2379
UW-Madison,2020-09-27,42591.0,2033
Maryland,2020-09-27,31246.0,321
Ohio State,2020-09-27,96279.0,2897
Michigan State,2020-09-27,3721.0,1903
Illinois,2020-09-27,412470.0,2407
Northwestern,2020-09-27,19378.0,130
Indiana,2020-09-27,54463.0,2514
Nebraska,2020-09-27,5311.0,769
Purdue,2020-09-27,28921.0,862
Purdue,2020-09-28,29680.0,878
Nebraska,2020-09-28,5528.0,783
Ohio State,2020-09-28,99864.0,2937
Maryland,2020-09-28,31249.0,321
Iowa,2020-09-28,,2039
UW-Madison,2020-09-28,42595.0,2033
Illinois,2020-09-28,423206.0,2443
Nebraska,2020-09-29,5648.0,790
Maryland,2020-09-29,31256.0,324
Illinois,2020-09-29,433843.0,2479
Ohio State,2020-09-29,103626.0,2967
UW-Madison,2020-09-29,44573.0,2049
Purdue,2020-09-29,30513.0,900
Iowa,2020-09-30,,2053
Illinois,2020-09-30,444197.0,2511
Purdue,2020-09-30,31844.0,924
Ohio State,2020-09-30,107155.0,2987
UW-Madison,2020-09-30,46325.0,2069
Nebraska,2020-09-30,5767.0,799
Northwestern,2020-09-30,21626.0,145
Maryland,2020-09-30,31281.0,327
UW-Madison,2020-10-01,47772.0,2078
Penn State,2020-10-01,36986.0,2879
Nebraska,2020-10-01,6033.0,816
Illinois,2020-10-01,451774.0,2538
Purdue,2020-10-01,32870.0,945
Minnesota,2020-10-01,3562.0,242
Ohio State,2020-10-01,110534.0,3016
Maryland,2020-10-01,33278.0,340
Purdue,2020-10-02,33746.0,957
Illinois,2020-10-02,462539.0,2556
Iowa,2020-10-02,,2059
Nebraska,2020-10-02,6206.0,834
Ohio State,2020-10-02,112661.0,3038
Maryland,2020-10-02,33526.0,351
UW-Madison,2020-10-02,48937.0,2088
Purdue,2020-10-03,34089.0,961
Maryland,2020-10-03,35238.0,374
Illinois,2020-10-03,466390.0,2565
Rutgers,2020-10-03,34946.0,295
Michigan,2020-10-03,25857.0,989
Nebraska,2020-10-03,6333.0,841
UW-Madison,2020-10-03,50553.0,2103
Ohio State,2020-10-03,112682.0,3049
Ohio State,2020-10-04,113464.0,3050
Indiana,2020-10-04,66098.0,2654
Nebraska,2020-10-04,6414.0,845
Purdue,2020-10-04,34405.0,977
Northwestern,2020-10-04,23982.0,145
Illinois,2020-10-04,470764.0,2569
UW-Madison,2020-10-04,50858.0,2105
Maryland,2020-10-04,35814.0,393
Michigan State,2020-10-04,4013.0,1995
Ohio State,2020-10-05,117272.0,3074
UW-Madison,2020-10-05,50859.0,2105
Maryland,2020-10-05,35895.0,396
Iowa,2020-10-05,,2082
Illinois,2020-10-05,481906.0,2617
Nebraska,2020-10-05,6577.0,855
Purdue,2020-10-05,35190.0,1005
Maryland,2020-10-06,35896.0,406
Nebraska,2020-10-06,6652.0,859
Purdue,2020-10-06,36101.0,1031
UW-Madison,2020-10-06,52252.0,2115
Ohio State,2020-10-06,121169.0,3110
Illinois,2020-10-06,492275.0,2642
Nebraska,2020-10-07,6768.0,866
Ohio State,2020-10-07,124993.0,3147
Purdue,2020-10-07,37634.0,1067
Northwestern,2020-10-07,25502.0,155
Maryland,2020-10-07,35908.0,419
Iowa,2020-10-07,,2100
Illinois,2020-10-07,502055.0,2663
UW-Madison,2020-10-07,54023.0,2127
Nebraska,2020-10-08,6853.0,872
Illinois,2020-10-08,510008.0,2677
Penn State,2020-10-08,43866.0,3320
Purdue,2020-10-08,38695.0,1107
UW-Madison,2020-10-08,56122.0,2144
Ohio State,2020-10-08,128796.0,3173
Minnesota,2020-10-08,3979.0,270
Maryland,2020-10-08,35911.0,427
Maryland,2020-10-09,35940.0,441
Purdue,2020-10-09,39701.0,1139
Illinois,2020-10-09,519875.0,2687
Iowa,2020-10-09,,2116
Nebraska,2020-10-09,7213.0,893
UW-Madison,2020-10-09,57845.0,2163
Ohio State,2020-10-09,131231.0,3190
Illinois,2020-10-10,523449.0,2698
Maryland,2020-10-10,37406.0,448
UW-Madison,2020-10-10,59249.0,2177
Nebraska,2020-10-10,7376.0,898
Ohio State,2020-10-10,131983.0,3194
Rutgers,2020-10-10,38536.0,346
Purdue,2020-10-10,40065.0,1147
Michigan,2020-10-10,30009.0,1200
Nebraska,2020-10-11,7531.0,907
Michigan State,2020-10-11,4367.0,2071
UW-Madison,2020-10-11,59762.0,2184
Purdue,2020-10-11,40324.0,1158
Illinois,2020-10-11,527807.0,2706
Northwestern,2020-10-11,28565.0,160
Maryland,2020-10-11,37744.0,451
Indiana,2020-10-11,77172.0,2826
Ohio State,2020-10-11,132016.0,3194
Nebraska,2020-10-12,7722.0,918
Illinois,2020-10-12,537380.0,2729
Maryland,2020-10-12,37932.0,455
UW-Madison,2020-10-12,60352.0,2199
Purdue,2020-10-12,41156.0,1186
Ohio State,2020-10-12,135891.0,3227
Iowa,2020-10-12,,2128
Ohio State,2020-10-13,139722.0,3261
Nebraska,2020-10-13,7883.0,925
Purdue,2020-10-13,41958.0,1208
UW-Madison,2020-10-13,61876.0,2216
Illinois,2020-10-13,547437.0,2743
Maryland,2020-10-13,37939.0,458
Illinois,2020-10-14,556769.0,2754
UW-Madison,2020-10-14,64071.0,2232
Iowa,2020-10-14,,2145
Ohio State,2020-10-14,143094.0,3297
Northwestern,2020-10-14,29939.0,167
Purdue,2020-10-14,43407.0,1244
Maryland,2020-10-14,37956.0,471
Nebraska,2020-10-14,8205.0,950
UW-Madison,2020-10-15,65925.0,2252
Illinois,2020-10-15,564546.0,2763
Nebraska,2020-10-15,8499.0,961
Maryland,2020-10-15,38064.0,473
Penn State,2020-10-15,48671.0,3455
Minnesota,2020-10-15,4410.0,308
Michigan,2020-10-16,34031.0,1368
Michigan State,2020-10-16,4716.0,2090
Maryland,2020-10-16,38296.0,475
Maryland,2020-10-17,39674.0,475
